country;indicator;time_period;obs_value;unit_of_measure
Afghanistan;Refugees by host country, per 1000 population;2022;1;Per 1000
Albania;Refugees by host country, per 1000 population;2022;1;Per 1000
Algeria;Refugees by host country, per 1000 population;2022;2;Per 1000
Angola;Refugees by host country, per 1000 population;2022;1;Per 1000
Anguilla;Refugees by host country, per 1000 population;2022;0;Per 1000
Antigua and Barbuda;Refugees by host country, per 1000 population;2022;0;Per 1000
Argentina;Refugees by host country, per 1000 population;2022;4;Per 1000
Armenia;Refugees by host country, per 1000 population;2022;12;Per 1000
Aruba;Refugees by host country, per 1000 population;2022;160;Per 1000
Australia;Refugees by host country, per 1000 population;2022;2;Per 1000
Austria;Refugees by host country, per 1000 population;2022;29;Per 1000
Azerbaijan;Refugees by host country, per 1000 population;2022;1;Per 1000
Bahamas;Refugees by host country, per 1000 population;2022;0;Per 1000
Bahrain;Refugees by host country, per 1000 population;2022;0;Per 1000
Bangladesh;Refugees by host country, per 1000 population;2022;6;Per 1000
Belarus;Refugees by host country, per 1000 population;2022;2;Per 1000
Belgium;Refugees by host country, per 1000 population;2022;13;Per 1000
Belize;Refugees by host country, per 1000 population;2022;0;Per 1000
Benin;Refugees by host country, per 1000 population;2022;0;Per 1000
Bosnia and Herzegovina;Refugees by host country, per 1000 population;2022;0;Per 1000
Botswana;Refugees by host country, per 1000 population;2022;0;Per 1000
Brazil;Refugees by host country, per 1000 population;2022;2;Per 1000
Brunei;Refugees by host country, per 1000 population;2022;0;Per 1000
Bulgaria;Refugees by host country, per 1000 population;2022;26;Per 1000
Burkina Faso;Refugees by host country, per 1000 population;2022;2;Per 1000
Burundi;Refugees by host country, per 1000 population;2022;7;Per 1000
Cape Verde;Refugees by host country, per 1000 population;2022;0;Per 1000
Cambodia;Refugees by host country, per 1000 population;2022;0;Per 1000
Cameroon;Refugees by host country, per 1000 population;2022;17;Per 1000
Canada;Refugees by host country, per 1000 population;2022;4;Per 1000
Cayman Islands;Refugees by host country, per 1000 population;2022;1;Per 1000
Central African Republic;Refugees by host country, per 1000 population;2022;2;Per 1000
Chad;Refugees by host country, per 1000 population;2022;33;Per 1000
Chile;Refugees by host country, per 1000 population;2022;22;Per 1000
China;Refugees by host country, per 1000 population;2022;0;Per 1000
Hong Kong;Refugees by host country, per 1000 population;2022;0;Per 1000
Colombia;Refugees by host country, per 1000 population;2022;47;Per 1000
Comoros;Refugees by host country, per 1000 population;2022;0;Per 1000
Congo;Refugees by host country, per 1000 population;2022;7;Per 1000
Costa Rica;Refugees by host country, per 1000 population;2022;6;Per 1000
Croatia;Refugees by host country, per 1000 population;2022;5;Per 1000
Cuba;Refugees by host country, per 1000 population;2022;0;Per 1000
Cyprus;Refugees by host country, per 1000 population;2022;23;Per 1000
Czech Republic;Refugees by host country, per 1000 population;2022;41;Per 1000
Ivory Coast;Refugees by host country, per 1000 population;2022;0;Per 1000
Denmark;Refugees by host country, per 1000 population;2022;12;Per 1000
Djibouti;Refugees by host country, per 1000 population;2022;18;Per 1000
Dominican Republic;Refugees by host country, per 1000 population;2022;10;Per 1000
Ecuador;Refugees by host country, per 1000 population;2022;31;Per 1000
Egypt;Refugees by host country, per 1000 population;2022;3;Per 1000
El Salvador;Refugees by host country, per 1000 population;2022;0;Per 1000
Eritrea;Refugees by host country, per 1000 population;2022;0;Per 1000
Estonia;Refugees by host country, per 1000 population;2022;31;Per 1000
Swaziland;Refugees by host country, per 1000 population;2022;1;Per 1000
Ethiopia;Refugees by host country, per 1000 population;2022;7;Per 1000
Fiji;Refugees by host country, per 1000 population;2022;0;Per 1000
Finland;Refugees by host country, per 1000 population;2022;13;Per 1000
France;Refugees by host country, per 1000 population;2022;9;Per 1000
Gabon;Refugees by host country, per 1000 population;2022;0;Per 1000
Gambia;Refugees by host country, per 1000 population;2022;1;Per 1000
Georgia;Refugees by host country, per 1000 population;2022;7;Per 1000
Germany;Refugees by host country, per 1000 population;2022;25;Per 1000
Ghana;Refugees by host country, per 1000 population;2022;0;Per 1000
Greece;Refugees by host country, per 1000 population;2022;15;Per 1000
Grenada;Refugees by host country, per 1000 population;2022;0;Per 1000
Guatemala;Refugees by host country, per 1000 population;2022;0;Per 1000
Guinea;Refugees by host country, per 1000 population;2022;0;Per 1000
Guinea-Bissau;Refugees by host country, per 1000 population;2022;0;Per 1000
Guyana;Refugees by host country, per 1000 population;2022;24;Per 1000
Honduras;Refugees by host country, per 1000 population;2022;0;Per 1000
Hungary;Refugees by host country, per 1000 population;2022;4;Per 1000
Iceland;Refugees by host country, per 1000 population;2022;14;Per 1000
India;Refugees by host country, per 1000 population;2022;0;Per 1000
Indonesia;Refugees by host country, per 1000 population;2022;0;Per 1000
Iraq;Refugees by host country, per 1000 population;2022;6;Per 1000
Ireland;Refugees by host country, per 1000 population;2022;16;Per 1000
Israel;Refugees by host country, per 1000 population;2022;0;Per 1000
Italy;Refugees by host country, per 1000 population;2022;5;Per 1000
Jamaica;Refugees by host country, per 1000 population;2022;0;Per 1000
Japan;Refugees by host country, per 1000 population;2022;0;Per 1000
Jordan;Refugees by host country, per 1000 population;2022;62;Per 1000
Kazakhstan;Refugees by host country, per 1000 population;2022;0;Per 1000
Kenya;Refugees by host country, per 1000 population;2022;9;Per 1000
